term,definition
Request for Comments (RFC),"Request for Comments (RFC) – IETF document series (RFC 2026)."
Resource Exhaustion,"Resource Exhaustion – DoS by depleting CPU/memory (NIST SP 800-61)."
Response Time,"Response Time – Speed of incident handling (NIST SP 800-61)."
Risk Appetite,"Risk Appetite – Amount of risk organization accepts (NIST SP 800-39)."
Risk Assessment Methodology,"Risk Assessment Methodology – Structured risk evaluation (ISO/IEC 27005)."
Risk Mitigation,"Risk Mitigation – Reducing risk to acceptable levels (ISO/IEC 27005)."
Risk Register,"Risk Register – Documented list of risks (ISO/IEC 27005)."
Risk Tolerance,"Risk Tolerance – Level of risk variation acceptable (NIST SP 800-39)."
Risk Treatment,"Risk Treatment – Options like avoid, mitigate, transfer (ISO/IEC 27005)."
Risk-Based Approach,"Risk-Based Approach – Prioritizing based on risk (NIST SP 800-30)."
Role Separation,"Role Separation – Dividing duties to prevent fraud (NIST SP 800-53)."
Root Access,"Root Access – Superuser privileges in Unix (NIST SP 800-53)."
Root Cause Analysis,"Root Cause Analysis – Identifying incident origins (NIST SP 800-61)."
Rootkit Detection,"Rootkit Detection – Tools scanning for hidden malware (SANS)."
Router Security,"Router Security – Hardening network routers (NIST SP 800-41)."
Rule Set Based Access Control (RBAC),"Rule Set Based Access Control (RBAC) – Access via rules (NIST SP 800-162)."
Runtime Application Self-Protection (RASP),"Runtime Application Self-Protection (RASP) – App-embedded security (OWASP)."
S/MIME,"S/MIME – Secure email standard (RFC 8551)."
SAAS Security,"SAAS Security – Protecting cloud apps (NIST SP 800-146)."
SAML Assertion,"SAML Assertion – XML for auth info exchange (OASIS)."
Sandbox Evasion,"Sandbox Evasion – Malware avoiding analysis environments (SANS)."
Scalability,"Scalability – System growth without security loss (NIST)."
Scalable Vector Graphics (SVG) Vulnerability,"Scalable Vector Graphics (SVG) Vulnerability – XSS via SVG (OWASP)."
SCADA Security,"SCADA Security – Protecting supervisory control systems (NIST SP 800-82)."
Scan Engine,"Scan Engine – Core of vulnerability scanners (NIST SP 800-115)."
Scatternet,"Scatternet – Bluetooth piconet connections (NIST)."
Script Kiddie,"Script Kiddie – Attacker using pre-made tools (SANS)."
Search Engine Optimization (SEO) Poisoning,"Search Engine Optimization (SEO) Poisoning – Malicious sites ranking high (OWASP)."
Secure Coding,"Secure Coding – Practices to avoid vulnerabilities (OWASP)."
Secure Copy (SCP),"Secure Copy (SCP) – Encrypted file transfer (RFC 4251)."
Secure FTP (SFTP),"Secure FTP (SFTP) – SSH-based file transfer (RFC 4251)."
Secure Multi-Party Computation,"Secure Multi-Party Computation – Computing without revealing inputs (NIST)."
Secure Neighbor Discovery (SEND),"Secure Neighbor Discovery (SEND) – IPv6 security (RFC 3971)."
Secure Real-Time Transport Protocol (SRTP),"Secure Real-Time Transport Protocol (SRTP) – Encrypted RTP (RFC 3711)."
Secure Remote Services,"Secure Remote Services – VPN or SSH for access (NIST)."
Secure Shell Tunnel,"Secure Shell Tunnel – SSH port forwarding (RFC 4251)."
Secure Sockets Layer Deprecation,"Secure Sockets Layer Deprecation – Phasing out SSL (NIST)."
Security Analytics,"Security Analytics – Big data for threats (NIST SP 800-137)."
Security Architecture,"Security Architecture – Design of security controls (NIST SP 800-53)."
Security Assertion,"Security Assertion – Claim in SAML (OASIS)."
Security Assessment,"Security Assessment – Evaluation of risks and controls (NIST SP 800-30)."
Security Automation,"Security Automation – Tools reducing manual tasks (NIST SP 800-137)."
Security Awareness Training,"Security Awareness Training – Educating users on threats (NIST SP 800-50)."
Security Baseline,"Security Baseline – Minimum controls for compliance (NIST SP 800-53)."
Security Categorization,"Security Categorization – Classifying systems by impact (NIST SP 800-60)."
Security Clearance,"Security Clearance – Authorization for classified access (CNSSI 4009)."
Security Compliance Manager,"Security Compliance Manager – Tool for policy enforcement (Microsoft)."
Security Concept of Operations (ConOps),"Security Concept of Operations (ConOps) – High-level security plan (NIST)."
Security Control Assessment,"Security Control Assessment – Testing control effectiveness (NIST SP 800-53A)."
Security Control Inheritance,"Security Control Inheritance – Reusing controls in systems (NIST SP 800-53)."
Security Control Tailoring,"Security Control Tailoring – Customizing controls (NIST SP 800-53)."
Security Enhanced Linux (SELinux),"Security Enhanced Linux (SELinux) – Mandatory access in Linux (NSA)."
Security Event,"Security Event – Observable occurrence in systems (NIST SP 800-61)."
Security Function,"Security Function – Component achieving security objectives (ISO/IEC 27000)."
Security Governance,"Security Governance – Oversight of security program (ISO/IEC 27001)."
Security Identifier (SID),"Security Identifier (SID) – Unique ID for Windows principals (Microsoft)."
Security Impact Analysis,"Security Impact Analysis – Assessing change effects (NIST SP 800-53)."
Security Incident Response Team (SIRT),"Security Incident Response Team (SIRT) – Variant of CSIRT (ENISA)."
Security Information Management (SIM),"Security Information Management (SIM) – Log collection (NIST SP 800-92)."
Security Intelligence,"Security Intelligence – Actionable threat knowledge (NIST SP 800-150)."
Security Kernel,"Security Kernel – Core enforcing reference monitor (NIST)."
Security Label,"Security Label – Tag indicating sensitivity (NIST SP 800-53)."
Security Logging,"Security Logging – Recording events for review (NIST SP 800-92)."
Security Management System,"Security Management System – ISMS variant (ISO/IEC 27001)."
Security Metrics,"Security Metrics – Quantitative measures of security (ISO/IEC 27004)."
Security Misconfiguration,"Security Misconfiguration – Improper settings leading to risks (OWASP)."
Security Model,"Security Model – Formal representation of policy (NIST IR 7298)."
Security Objectives,"Security Objectives – Goals like CIA (ISO/IEC 27000)."
Security Operations,"Security Operations – Day-to-day security activities (SANS)."
Security Orchestration,"Security Orchestration – Automating workflows (Gartner)."
Security Patch,"Security Patch – Update fixing vulnerabilities (NIST SP 800-40)."
Security Perimeter,"Security Perimeter – Boundary of protected area (NIST SP 800-41)."
Security Policy Enforcement,"Security Policy Enforcement – Applying policies consistently (NIST SP 800-53)."
Security Posture,"Security Posture – Overall strength of defenses (NIST)."
Security Protocol Identifier,"Security Protocol Identifier – TLS or IPsec in headers (RFC 4301)."
Security Requirements,"Security Requirements – Needs derived from threats (NIST SP 800-12)."
Security Review,"Security Review – Periodic evaluation of controls (NIST SP 800-53A)."
Security Risk,"Security Risk – Potential adverse impact (ISO/IEC 27005)."
Security Scanning,"Security Scanning – Automated vuln detection (NIST SP 800-115)."
Security Service,"Security Service – Mechanism providing functions like auth (ISO/IEC 27000)."
Security Service Edge (SSE),"Security Service Edge (SSE) – Cloud-delivered security (Gartner)."
Security Stack,"Security Stack – Integrated tools for protection (SANS)."
Security Target,"Security Target – Document for Common Criteria evaluation (ISO/IEC 15408)."
Security Test and Evaluation (ST&E),"Security Test and Evaluation (ST&E) – Assessing controls (NIST SP 800-53A)."
Security Token Service (STS),"Security Token Service (STS) – Issuing tokens in federation (SAML)."
Security Training,"Security Training – Skill-building for personnel (NIST SP 800-50)."
Security Tuple,"Security Tuple – Set of attributes for access decisions (NIST SP 800-162)."
Security Update,"Security Update – Patch for known issues (NIST SP 800-40)."
Security Vulnerability,"Security Vulnerability – Flaw exploitable by threats (ISO/IEC 27005)."
Security-Enhanced Android (SEAndroid),"Security-Enhanced Android (SEAndroid) – SELinux for Android (NSA)."
Segmentation,"Segmentation – Dividing networks for isolation (NIST SP 800-41)."
Self-Service Password Reset,"Self-Service Password Reset – User-initiated password change (NIST SP 800-63B)."
Sensitivity Label,"Sensitivity Label – Classification tag on data (NIST SP 800-53)."
Separation of Duties,"Separation of Duties – Dividing tasks to prevent abuse (NIST SP 800-53)."
Server Message Block (SMB) Security,"Server Message Block (SMB) Security – Protecting file sharing (NIST SP 800-171)."
Server-Side Request Forgery (SSRF),"Server-Side Request Forgery (SSRF) – Forcing server to make requests (OWASP)."
Service Level Agreement (SLA),"Service Level Agreement (SLA) – Contract for service availability (NIST)."
Service-Oriented Architecture (SOA) Security,"Service-Oriented Architecture (SOA) Security – Protecting web services (OWASP)."
Session Fixation,"Session Fixation – Attacker setting session ID (OWASP)."
Session Management,"Session Management – Handling user sessions securely (OWASP)."
Shared Responsibility Model,"Shared Responsibility Model – Division of cloud security duties (NIST SP 800-146)."
Shellcode,"Shellcode – Small code for exploit payloads (SANS)."
Side-Channel Attack,"Side-Channel Attack – Exploiting physical implementation leaks (NIST SP 800-57)."
Signature,"Signature – Digital or manual approval (FIPS 186)."
Simple Mail Transfer Protocol (SMTP) Security,"Simple Mail Transfer Protocol (SMTP) Security – Encrypting email (RFC 5321)."
Single Loss Expectancy (SLE),"Single Loss Expectancy (SLE) – Cost of one incident (NIST SP 800-30)."
Single Sign-On (SSO),"Single Sign-On (SSO) – One login for multiple systems (NIST SP 800-63C)."
Site-to-Site VPN,"Site-to-Site VPN – Connecting networks securely (RFC 4301)."
Smart Card,"Smart Card – Card with embedded chip for auth (NIST SP 800-76)."
Smart Contract Security,"Smart Contract Security – Auditing blockchain code (NIST IR 8276)."
Smart Meter Security,"Smart Meter Security – Protecting utility devices (NIST SP 800-82)."
Smoke Test,"Smoke Test – Basic security check (NIST SP 800-115)."
Social Engineering Toolkit (SET),"Social Engineering Toolkit (SET) – Tool for phishing simulations (Open Source)."
Software Assurance,"Software Assurance – Ensuring software reliability (NIST SP 800-40)."
Software Bill of Materials (SBOM),"Software Bill of Materials (SBOM) – Inventory of software components (NIST)."
Software Composition Analysis (SCA),"Software Composition Analysis (SCA) – Scanning open-source for vulns (OWASP)."
Software Defined Perimeter (SDP),"Software Defined Perimeter (SDP) – Zero trust access (CSA)."
Software Development Lifecycle (SDLC),"Software Development Lifecycle (SDLC) – Phases including secure coding (OWASP)."
Software Fault Injection,"Software Fault Injection – Testing resilience to errors (NIST)."
Software Security,"Software Security – Building secure apps (OWASP)."
Software Supply Chain Security,"Software Supply Chain Security – Protecting dev pipelines (NIST SSDF)."
Spam Filter,"Spam Filter – Blocking unwanted email (NIST SP 800-45)."
Spear-Phishing Attachment,"Spear-Phishing Attachment – Targeted malicious file (MITRE ATT&CK)."
Spear-Phishing Link,"Spear-Phishing Link – Targeted malicious URL (MITRE ATT&CK)."
Spear-Phishing Voice,"Spear-Phishing Voice – Targeted vishing (NIST)."
Split Knowledge,"Split Knowledge – Dividing keys for security (NIST SP 800-57)."
SQL Injection Prevention,"SQL Injection Prevention – Parameterized queries (OWASP)."
SSH Key,"SSH Key – Public/private for secure shell (RFC 4251)."
SSL Inspection,"SSL Inspection – Decrypting TLS for analysis (NIST)."
Stack Canaries,"Stack Canaries – Values detecting buffer overflows (NIST)."
Standard Operating Procedure (SOP),"Standard Operating Procedure (SOP) – Detailed instructions for tasks (NIST SP 800-12)."
Standards Compliance,"Standards Compliance – Meeting ISO, NIST, etc. (ISO)."
Static Application Security Testing (SAST),"Static Application Security Testing (SAST) – Code analysis for vulns (OWASP)."
Static Code Analysis,"Static Code Analysis – Reviewing source without execution (OWASP)."
Steganalysis,"Steganalysis – Detecting hidden data (NIST)."
Storage Area Network (SAN) Security,"Storage Area Network (SAN) Security – Protecting storage networks (NIST)."
Storage Encryption,"Storage Encryption – Encrypting data on devices (NIST SP 800-111)."
Stream Cipher,"Stream Cipher – Encrypting data streams bit-by-bit (NIST SP 800-57)."
Strong Authentication,"Strong Authentication – Multi-factor or biometrics (NIST SP 800-63B)."
Structured Query Language (SQL) Injection,"Structured Query Language (SQL) Injection – Code injection in databases (OWASP)."
Subpoena,"Subpoena – Legal order for evidence production (FRCP)."
Supply Chain Risk Management (SCRM),"Supply Chain Risk Management (SCRM) – Assessing vendor risks (NIST SP 800-161)."
Symmetric Key,"Symmetric Key – Shared secret for encryption (NIST SP 800-57)."
Synchronous Dynamic Password,"Synchronous Dynamic Password – Time-based OTP (NIST SP 800-63B)."
Syntax Validation,"Syntax Validation – Checking input format (OWASP)."
System Call Interception,"System Call Interception – Hooking OS calls for monitoring (SANS)."
System Hardening Guide,"System Hardening Guide – CIS benchmarks (CIS)."
System Integrity Protection,"System Integrity Protection – macOS feature (Apple)."
System Owner,"System Owner – Responsible for system security (NIST SP 800-53)."
System Security Plan (SSP),"System Security Plan (SSP) – Document describing controls (NIST SP 800-18)."
Systems Security Engineering,"Systems Security Engineering – Integrating security in design (NIST SP 800-160)."
TACACS+,"TACACS+ – Cisco AAA protocol (RFC 8907)."
Tag,"Tag – Metadata label for classification (NIST)."
Target of Evaluation (TOE),"Target of Evaluation (TOE) – Product in Common Criteria (ISO/IEC 15408)."
TCP Sequence Prediction,"TCP Sequence Prediction – Guessing packets for hijacking (RFC 793)."
TCP/IP Stack Hardening,"TCP/IP Stack Hardening – Securing network protocols (NIST)."
Technical Control,"Technical Control – Automated security measures (NIST SP 800-53)."
Telecommunications Security,"Telecommunications Security – Protecting voice/data lines (NIST SP 800-77)."
Template Protection,"Template Protection – Securing biometric templates (NIST SP 800-76)."
Temporal Key Integrity Protocol (TKIP),"Temporal Key Integrity Protocol (TKIP) – Deprecated Wi-Fi security (IEEE 802.11)."
Test Data,"Test Data – Sample for security testing (NIST SP 800-115)."
Theft of Information,"Theft of Information – Stealing data (NIST SP 800-53)."
Threat Actor Profile,"Threat Actor Profile – Characteristics of attackers (MITRE)."
Threat Assessment,"Threat Assessment – Identifying potential threats (NIST SP 800-30)."
Threat Hunting Platform,"Threat Hunting Platform – Tools for proactive search (SANS)."
Threat Intelligence Feed,"Threat Intelligence Feed – Real-time threat data (NIST SP 800-150)."
Threat Intelligence Platform (TIP),"Threat Intelligence Platform (TIP) – Aggregating intel (NIST SP 800-150)."
Threat Landscape,"Threat Landscape – Overview of current threats (ENISA)."
Threat Library,"Threat Library – Catalog of known threats (MITRE)."
Threat Modeling Tool,"Threat Modeling Tool – Software for STRIDE analysis (Microsoft)."
Three-Way Handshake,"Three-Way Handshake – TCP connection establishment (RFC 793)."
Ticket Granting Ticket (TGT),"Ticket Granting Ticket (TGT) – Kerberos initial ticket (RFC 4120)."
Time-Based One-Time Password (TOTP),"Time-Based One-Time Password (TOTP) – HOTP variant (RFC 6238)."
Time Stomping Tool,"Time Stomping Tool – Altering timestamps (SANS)."
TLS 1.3,"TLS 1.3 – Latest TLS version (RFC 8446)."
Token Binding,"Token Binding – Linking tokens to TLS channels (RFC 8471)."
Top-Level Domain (TLD),"Top-Level Domain (TLD) – .com, .org, etc. (RFC 1035)."
Traffic Analysis,"Traffic Analysis – Inferring info from patterns (RFC 4949)."
Traffic Shaping,"Traffic Shaping – Controlling bandwidth (NIST)."
Transaction Security,"Transaction Security – Protecting financial exchanges (PCI DSS)."
Transfer Protocol,"Transfer Protocol – FTP, HTTP, etc., with security (NIST)."
Transmission Control Protocol (TCP) Security,"Transmission Control Protocol (TCP) Security – Protecting reliable transport (RFC 793)."
Transport Layer Security Inspection,"Transport Layer Security Inspection – Analyzing encrypted traffic (NIST)."
Triple DES (3DES),"Triple DES (3DES) – Deprecated symmetric cipher (FIPS 46-3)."
Trusted Platform Module (TPM),"Trusted Platform Module (TPM) – Hardware for key storage (NIST SP 800-193)."
Trusted Third Party (TTP),"Trusted Third Party (TTP) – CA or escrow (NIST)."
Two-Person Integrity,"Two-Person Integrity – Requiring two for critical actions (NIST SP 800-53)."
Type 1 Authentication,"Type 1 Authentication – Something you know (NIST SP 800-63B)."
Type 2 Authentication,"Type 2 Authentication – Something you have (NIST SP 800-63B)."
Type 3 Authentication,"Type 3 Authentication – Something you are (NIST SP 800-63B)."
UDP Flood,"UDP Flood – DoS with UDP packets (NIST SP 800-61)."
Unauthenticated Encryption,"Unauthenticated Encryption – Cipher without integrity (NIST SP 800-38A)."
Unauthorized Access,"Unauthorized Access – Breaching without permission (NIST SP 800-61)."
Unified Threat Management (UTM),"Unified Threat Management (UTM) – All-in-one security appliance (NIST)."
Unit Testing,"Unit Testing – Testing individual components (OWASP)."
Universal 2nd Factor (U2F),"Universal 2nd Factor (U2F) – Hardware MFA standard (FIDO)."
Unix Security,"Unix Security – Permissions and hardening (NIST SP 800-123)."
Update Mechanism,"Update Mechanism – Secure patching (NIST SP 800-40)."
User Account Control (UAC),"User Account Control (UAC) – Windows privilege prompt (Microsoft)."
User Behavior Analytics (UBA),"User Behavior Analytics (UBA) – Detecting anomalies in user activity (SANS)."
User Datagram Protocol (UDP) Security,"User Datagram Protocol (UDP) Security – Protecting unreliable transport (RFC 768)."
User Entity Behavior Analytics (UEBA),"User Entity Behavior Analytics (UEBA) – Advanced UBA (SANS)."
User Profile,"User Profile – Settings and history for users (NIST)."
User Provisioning,"User Provisioning – Automated account creation (NIST SP 800-53)."
User Training,"User Training – Educating on phishing, etc. (NIST SP 800-50)."
Validation,"Validation – Ensuring data meets criteria (OWASP)."
Value at Risk (VaR),"Value at Risk (VaR) – Financial risk measure adapted for cyber (NIST)."
Vendor Risk,"Vendor Risk – Threats from third parties (NIST SP 800-161)."
Verification,"Verification – Confirming identity or integrity (NIST SP 800-63)."
Virtual Desktop Infrastructure (VDI),"Virtual Desktop Infrastructure (VDI) – Centralized desktops (NIST SP 800-125)."
Virtual Machine Introspection (VMI),"Virtual Machine Introspection (VMI) – Monitoring VMs from hypervisor (NIST)."
Virtual Machine Escape,"Virtual Machine Escape – Breaking out of VM (NIST SP 800-125)."
Virtual Private Cloud (VPC),"Virtual Private Cloud (VPC) – Isolated cloud section (NIST SP 800-146)."
Virtualization Security,"Virtualization Security – Protecting VMs and hosts (NIST SP 800-125)."
Virus Signature,"Virus Signature – Pattern for AV detection (NIST SP 800-83)."
VLAN Hopping,"VLAN Hopping – Switching VLANs unauthorized (OWASP)."
Voice over IP (VoIP) Security,"Voice over IP (VoIP) Security – Protecting calls (NIST SP 800-58)."
Volatility Framework,"Volatility Framework – Memory forensics tool (Volatility)."
Volume Shadow Copy,"Volume Shadow Copy – Windows snapshot for recovery (Microsoft)."
Vulnerability Database,"Vulnerability Database – Repository like NVD (NIST)."
Vulnerability Management Process,"Vulnerability Management Process – Identify, assess, remediate (NIST SP 800-40)."
Vulnerability Research,"Vulnerability Research – Discovering flaws (NIST SP 800-115)."
WAF Bypass,"WAF Bypass – Evading web firewalls (OWASP)."
Warm Site,"Warm Site – Partially equipped backup (NIST SP 800-34)."
Waterfall Model,"Waterfall Model – Sequential SDLC with security gates (OWASP)."
Web Cache Deception,"Web Cache Deception – Tricking caches into storing sensitive data (OWASP)."
Web Content Filtering,"Web Content Filtering – Blocking malicious sites (NIST)."
Web Server Hardening,"Web Server Hardening – Securing Apache/IIS (NIST SP 800-123)."
Web Services Security,"Web Services Security – WS-Security for SOAP (OASIS)."
Web Vulnerability Scanner,"Web Vulnerability Scanner – Testing web apps (OWASP)."
Web2.0 Security,"Web2.0 Security – Protecting user-generated content (OWASP)."
WebShell,"WebShell – Backdoor via web app (OWASP)."
Whitelisting,"Whitelisting – Allowing only approved items (NIST SP 800-167)."
Wi-Fi Alliance,"Wi-Fi Alliance – Certifying secure wireless (Wi-Fi Alliance)."
Wi-Fi Protected Setup (WPS),"Wi-Fi Protected Setup (WPS) – Easy setup with vulnerabilities (NIST)."
Wipe Method,"Wipe Method – Overwriting for sanitization (NIST SP 800-88)."
Wire Speed,"Wire Speed – Processing at line rate (NIST)."
Wireless Access Point (WAP),"Wireless Access Point (WAP) – Device for Wi-Fi (NIST)."
Wireless Encryption,"Wireless Encryption – WPA3 for Wi-Fi (IEEE 802.11)."
Wireless Sniffer,"Wireless Sniffer – Capturing Wi-Fi traffic (NIST)."
Workstation Security,"Workstation Security – Endpoint hardening (NIST SP 800-123)."
Worldwide Web Consortium (W3C),"Worldwide Web Consortium (W3C) – Web standards body (W3C)."
Wormhole Attack,"Wormhole Attack – Tunneling messages in sensor networks (NIST)."
Write Blocker,"Write Blocker – Hardware preventing writes to evidence (NIST SP 800-86)."
X.509 Certificate,"X.509 Certificate – Standard for public keys (RFC 5280)."
XSS Filter,"XSS Filter – Browser protection against scripts (OWASP)."
XML External Entity (XXE),"XML External Entity (XXE) – Attack parsing XML (OWASP)."
XML Signature,"XML Signature – Signing XML data (W3C)."
Zero Configuration Networking,"Zero Configuration Networking – Auto-discovery with security (RFC 3927)."
Zero-Day Exploit,"Zero-Day Exploit – Attack on unknown vuln (NIST SP 800-53)."
Zero-Knowledge Proof,"Zero-Knowledge Proof – Proving knowledge without revealing it (NIST)."
Zero-Touch Provisioning,"Zero-Touch Provisioning – Automated device setup (NIST)."
Zone of Risk,"Zone of Risk – Area where threats are assessed (NIST SP 800-30)."
